행정구역,2021년05월_계_총인구수,2021년05월_계_연령구간인구수,2021년05월_계_0세,2021년05월_계_1세,2021년05월_계_2세,2021년05월_계_3세,2021년05월_계_4세,2021년05월_계_5세,2021년05월_계_6세,2021년05월_계_7세,2021년05월_계_8세,2021년05월_계_9세,2021년05월_계_10세,2021년05월_계_11세,2021년05월_계_12세,2021년05월_계_13세,2021년05월_계_14세,2021년05월_계_15세,2021년05월_계_16세,2021년05월_계_17세,2021년05월_계_18세,2021년05월_계_19세,2021년05월_계_20세,2021년05월_계_21세,2021년05월_계_22세,2021년05월_계_23세,2021년05월_계_24세,2021년05월_계_25세,2021년05월_계_26세,2021년05월_계_27세,2021년05월_계_28세,2021년05월_계_29세,2021년05월_계_30세,2021년05월_계_31세,2021년05월_계_32세,2021년05월_계_33세,2021년05월_계_34세,2021년05월_계_35세,2021년05월_계_36세,2021년05월_계_37세,2021년05월_계_38세,2021년05월_계_39세,2021년05월_계_40세,2021년05월_계_41세,2021년05월_계_42세,2021년05월_계_43세,2021년05월_계_44세,2021년05월_계_45세,2021년05월_계_46세,2021년05월_계_47세,2021년05월_계_48세,2021년05월_계_49세,2021년05월_계_50세,2021년05월_계_51세,2021년05월_계_52세,2021년05월_계_53세,2021년05월_계_54세,2021년05월_계_55세,2021년05월_계_56세,2021년05월_계_57세,2021년05월_계_58세,2021년05월_계_59세,2021년05월_계_60세,2021년05월_계_61세,2021년05월_계_62세,2021년05월_계_63세,2021년05월_계_64세,2021년05월_계_65세,2021년05월_계_66세,2021년05월_계_67세,2021년05월_계_68세,2021년05월_계_69세,2021년05월_계_70세,2021년05월_계_71세,2021년05월_계_72세,2021년05월_계_73세,2021년05월_계_74세,2021년05월_계_75세,2021년05월_계_76세,2021년05월_계_77세,2021년05월_계_78세,2021년05월_계_79세,2021년05월_계_80세,2021년05월_계_81세,2021년05월_계_82세,2021년05월_계_83세,2021년05월_계_84세,2021년05월_계_85세,2021년05월_계_86세,2021년05월_계_87세,2021년05월_계_88세,2021년05월_계_89세,2021년05월_계_90세,2021년05월_계_91세,2021년05월_계_92세,2021년05월_계_93세,2021년05월_계_94세,2021년05월_계_95세,2021년05월_계_96세,2021년05월_계_97세,2021년05월_계_98세,2021년05월_계_99세,2021년05월_계_100세 이상
서울특별시  (1100000000),"9,575,355","9,575,355","44,116","47,612","51,389","54,644","60,226","66,775","68,122","67,105","72,631","72,433","74,702","69,966","72,360","78,681","74,635","71,679","75,052","80,554","81,153","89,544","108,121","114,369","120,701","133,889","142,513","155,641","160,766","166,742","172,551","170,425","155,942","149,727","146,537","138,384","137,327","138,403","134,457","144,175","151,702","158,712","157,393","155,800","139,387","137,722","136,405","139,782","148,291","158,851","163,010","166,672","171,150","162,638","166,009","149,296","141,771","143,737","145,888","134,601","151,699","143,144","162,666","152,287","142,186","136,982","127,836","123,489","127,802","99,709","99,786","91,396","76,633","85,104","80,194","81,207","79,145","55,147","59,598","56,681","63,261","59,700","46,471","42,577","39,035","33,287","29,726","26,231","21,958","17,597","14,591","12,017","9,371","7,894","6,808","5,082","3,741","2,523","1,790","1,469","1,321",828,"2,520"
서울특별시 종로구 (1111000000),"146,377","146,377",474,558,554,629,737,836,811,825,968,886,992,902,"1,012","1,095","1,012",990,"1,059","1,113","1,122","1,494","1,713","1,879","2,030","2,216","2,422","2,640","2,539","2,609","2,647","2,524","2,280","2,108","1,989","1,923","1,849","1,778","1,801","1,887","1,929","2,093","2,137","2,154","1,874","1,849","1,921","1,907","2,165","2,371","2,485","2,637","2,794","2,636","2,676","2,506","2,332","2,407","2,383","2,357","2,548","2,393","2,746","2,384","2,240","2,118","2,056","1,989","1,993","1,546","1,594","1,457","1,116","1,345","1,255","1,375","1,294",935,"1,122","1,036","1,190","1,156",951,916,801,675,643,555,460,397,311,255,212,174,153,100,100,70,46,32,30,32,60
서울특별시 중구 (1114000000),"123,133","123,133",598,580,585,607,741,697,673,714,676,668,681,561,589,661,614,566,618,708,768,898,"1,184","1,364","1,438","1,664","1,804","1,946","2,040","2,176","2,365","2,383","2,145","2,095","2,022","1,989","1,904","1,982","1,850","1,946","2,002","2,001","1,995","1,955","1,656","1,635","1,546","1,591","1,688","1,800","1,832","2,020","2,118","2,072","2,161","2,042","1,864","1,910","2,030","1,878","2,189","2,026","2,288","2,062","1,935","1,918","1,857","1,730","1,799","1,398","1,390","1,305","1,065","1,226","1,118","1,182","1,114",846,900,899,980,997,741,694,668,498,515,470,381,316,271,204,176,162,127,114,67,41,37,29,26,16,60
서울특별시 용산구 (1117000000),"227,515","227,515","1,101","1,152","1,238","1,265","1,327","1,479","1,388","1,353","1,467","1,429","1,477","1,347","1,381","1,492","1,419","1,416","1,556","1,596","1,652","1,870","2,392","2,618","2,705","2,868","3,093","3,417","3,775","3,935","4,437","4,435","4,212","4,065","3,889","3,796","3,636","3,762","3,496","3,747","3,756","3,878","3,914","3,674","3,130","3,261","3,010","3,175","3,359","3,584","3,798","4,105","4,129","4,005","4,021","3,637","3,365","3,520","3,474","3,312","3,596","3,556","3,759","3,569","3,269","3,256","2,974","2,810","2,895","2,268","2,215","1,930","1,764","1,902","1,847","1,937","1,709","1,362","1,440","1,426","1,609","1,586","1,256","1,191","1,106","1,043",945,843,686,568,474,427,313,257,243,171,109,99,66,57,53,36,103
서울특별시 성동구 (1120000000),"289,656","289,656","1,787","1,868","1,944","1,969","2,170","2,059","2,138","1,958","2,019","1,975","1,846","1,733","1,731","1,962","1,781","1,802","1,869","2,045","2,137","2,573","3,239","3,507","3,765","4,223","4,516","4,944","4,929","5,065","5,159","5,141","4,743","4,731","4,746","4,662","4,544","4,691","4,705","4,889","5,003","5,114","4,958","4,723","4,201","4,038","3,961","4,017","4,214","4,518","4,654","4,777","5,115","4,966","5,035","4,615","4,288","4,556","4,607","4,251","4,720","4,559","4,998","4,610","4,303","4,070","3,866","3,476","3,610","2,851","2,708","2,516","2,232","2,417","2,186","2,287","2,338","1,566","1,772","1,694","1,973","1,806","1,451","1,294","1,154","1,056",979,777,667,555,436,352,266,228,200,123,110,67,36,36,31,26,78
서울특별시 광진구 (1121500000),"342,812","342,812","1,380","1,459","1,562","1,618","1,818","1,987","2,135","2,105","2,328","2,250","2,399","2,204","2,362","2,621","2,517","2,315","2,554","2,650","2,751","2,989","3,938","4,497","5,228","5,856","6,287","7,024","7,240","7,501","7,612","7,244","6,436","6,267","5,890","5,397","5,212","5,231","4,825","5,156","5,341","5,488","5,419","5,272","4,783","4,658","4,702","4,715","5,001","5,415","5,667","5,824","5,953","5,669","5,854","5,491","5,208","5,216","5,220","4,756","5,540","5,062","5,756","5,464","4,920","4,789","4,385","4,205","4,235","3,244","3,342","2,934","2,466","2,539","2,604","2,608","2,508","1,746","1,870","1,834","2,023","1,869","1,520","1,381","1,314","1,064",963,820,710,529,416,386,264,232,186,163,105,73,54,50,42,28,72
서울특별시 동대문구 (1123000000),"338,233","338,233","1,555","1,796","1,794","1,914","1,986","2,237","2,218","2,087","2,295","2,190","2,244","2,130","2,136","2,364","2,132","2,064","2,213","2,363","2,553","3,086","4,177","4,558","5,178","5,872","6,040","6,311","6,226","6,019","6,072","5,716","5,285","5,004","4,887","4,634","4,636","4,615","4,595","4,969","5,276","5,431","5,353","5,126","4,666","4,605","4,480","4,482","4,895","5,087","5,407","5,456","5,769","5,491","5,691","5,080","5,065","5,106","5,168","4,649","5,298","5,110","5,957","5,514","5,267","4,988","4,748","4,592","4,783","3,736","3,721","3,456","2,884","3,175","3,024","3,129","3,096","2,220","2,416","2,372","2,671","2,502","1,995","1,734","1,602","1,399","1,207","1,045",902,709,593,445,331,284,242,182,120,71,62,56,58,25,78
서울특별시 중랑구 (1126000000),"390,476","390,476","1,724","1,804","2,056","2,121","2,245","2,419","2,388","2,352","2,505","2,533","2,477","2,346","2,397","2,527","2,501","2,413","2,508","2,761","2,905","3,208","3,962","4,272","4,455","4,969","5,412","5,960","6,282","6,662","6,879","6,798","6,065","5,924","5,832","5,504","5,448","5,426","5,337","5,564","5,876","6,147","6,197","6,041","5,196","5,108","4,936","5,176","5,386","5,956","6,229","6,407","6,893","6,751","7,235","6,716","6,597","6,659","6,925","6,319","7,342","7,007","7,963","7,477","6,677","6,487","5,909","5,737","5,958","4,618","4,510","4,245","3,413","3,789","3,585","3,585","3,591","2,443","2,641","2,538","2,853","2,684","2,030","1,927","1,672","1,444","1,257","1,065",913,731,590,445,392,295,245,209,142,95,71,47,50,36,77
서울특별시 성북구 (1129000000),"433,988","433,988","1,924","2,190","2,416","2,524","2,869","3,271","3,224","3,183","3,390","3,517","3,578","3,271","3,344","3,640","3,588","3,276","3,633","3,858","3,952","4,588","5,779","6,048","6,362","6,877","6,984","7,107","6,881","6,897","6,787","6,554","5,963","5,826","5,599","5,452","5,499","5,739","5,631","6,187","6,489","6,960","6,871","6,870","6,224","6,040","6,079","6,427","6,996","7,572","7,810","8,007","8,138","7,762","7,914","6,831","6,623","6,477","6,450","6,022","6,588","6,288","7,234","6,683","6,276","6,130","5,531","5,461","5,660","4,326","4,416","4,052","3,297","3,892","3,645","3,735","3,648","2,599","2,832","2,859","3,204","3,115","2,395","2,182","2,036","1,743","1,520","1,334","1,166",811,712,573,471,379,314,267,190,123,81,61,53,31,105
서울특별시 강북구 (1130500000),"303,154","303,154",971,"1,052","1,221","1,378","1,542","1,624","1,667","1,707","1,885","1,971","2,005","1,818","1,967","2,050","2,013","2,004","2,058","2,301","2,409","2,749","3,297","3,596","3,782","4,157","4,340","4,560","4,490","4,670","4,739","4,528","3,984","3,751","3,751","3,487","3,461","3,575","3,548","3,827","4,141","4,286","4,350","4,473","4,039","4,003","4,001","4,199","4,555","5,075","5,242","5,485","5,595","5,386","5,543","5,214","4,841","4,993","5,104","4,790","5,385","5,081","5,950","5,586","5,154","4,952","4,667","4,568","4,740","3,650","3,736","3,570","3,041","3,320","3,354","3,405","3,271","2,282","2,664","2,527","2,876","2,751","2,088","1,845","1,681","1,423","1,275","1,130",848,661,512,441,327,264,261,176,110,88,70,44,47,34,49
서울특별시 도봉구 (1132000000),"320,687","320,687","1,114","1,383","1,442","1,636","1,766","2,018","2,128","1,988","2,173","2,274","2,368","2,172","2,240","2,410","2,362","2,288","2,431","2,819","2,764","3,109","3,614","3,806","3,913","4,184","4,341","4,490","4,467","4,605","4,641","4,522","4,102","3,859","3,834","3,620","3,630","3,770","3,797","4,090","4,484","4,713","4,767","4,646","4,077","4,149","4,137","4,312","4,819","5,168","5,444","5,774","5,984","5,771","6,111","5,542","5,353","5,482","5,461","5,121","5,866","5,549","6,503","6,114","5,679","5,570","5,248","4,956","5,171","3,822","3,909","3,559","3,028","3,261","3,017","3,172","3,107","2,172","2,285","2,319","2,562","2,594","1,976","1,809","1,663","1,382","1,232","1,090",861,761,639,531,378,333,282,222,162,99,60,53,54,30,122
서울특별시 노원구 (1135000000),"516,552","516,552","2,126","2,346","2,496","2,784","3,032","3,517","3,688","3,715","4,025","4,211","4,493","4,295","4,699","5,375","5,022","5,065","5,303","5,777","5,585","6,072","7,167","7,216","7,345","7,694","7,371","7,364","6,974","6,909","7,112","6,720","6,206","6,162","6,238","5,794","5,918","6,153","6,004","6,709","7,079","7,601","7,769","7,901","7,217","7,546","7,570","7,921","8,809","9,597","9,706","9,965","10,499","9,774","9,916","8,808","8,143","8,200","7,982","7,317","8,550","8,047","8,935","8,327","7,828","7,616","6,983","6,809","6,984","5,445","5,320","4,976","4,132","4,499","4,208","4,286","4,149","2,883","3,186","3,057","3,501","3,393","2,665","2,442","2,255","2,024","1,759","1,551","1,335","1,098",920,774,620,482,397,321,227,129,105,85,82,51,114
